id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
28962	ZEA MAYS	SWEET CORN, CORN ON THE COB	MAISSINTÄHKÄ, KOKONAINEN	true	Kasvikset	80.72657743785851	0.816	2.16	2.22
29217	LACTARIUS RUFUS	RUFOUS MILKCAP	KANGASROUSKU	true	Kasvikset	18.802581261950287	0.5	0.25	1.5
29410	BOLETUS EDULIS	PORCINI	HERKKUTATTI	true	Kasvikset	30.205544933078393	0.229	1.607	3
29822	ZEA MAYS	FLOUR, CORN MEAL, COARSELY GROUND	JAUHO, MAISSIJAUHO, KARKEA, POLENTAJAUHO	true	Viljat	348.75	1.65	0.64	7.4
29823	ZEA MAYS	FLOUR, CORN MEAL, FINELY GROUND	JAUHO, MAISSIJAUHO, HIENOKSI JAUHETTU	true	Viljat	379.3283938814531	1.39	0.64	1.9
30190	AVENA SATIVA	FLOUR, OAT FLOUR	JAUHO, KAURAJAUHO	true	Viljat	390.55210325047796	7.08	0.877	9
30214	ELEOCHARIS DULCIS	WATER CHESTNUT	VESIKASTANJA	true	Kasvikset	97.39005736137668	0.1	4.8	3
30223	LPOMOEA BATATAS	SWEET POTATO, WITHOUT SKIN	BATAATTI, KUORITTU	true	Kasvikset	80.93929254302103	0.05	4.18	3
30914	FOENICULUM VULGARE VAR. AZORICUM	FLORENCE FENNEL	FENKOLI, SALAATTIFENKOLI	true	Kasvikset	17.327915869980878	0.2	1.7	2.4
30968	PINUS SPP.	PINE NUT, PINE KERNEL	PINJANSIEMEN	false	Palkokasvit ja pähkinät	688.895793499044	66.8	3.59	3.7
30991	LINUM USITATISSIMUS	LINSEED, WHOLE	PELLAVANSIEMEN, KOKONAINEN	false	Palkokasvit ja pähkinät	537.4306883365201	43.8	1.418	26.4
31175	CHENOPODIUM QUINOA WILLD	QUINOA	KVINOA, SIEMEN	true	Viljat	347.53346080305926	6.07	4.94	7
31211	CUCURBITA PEPO	PUMPKIN SEED	KURPITSANSIEMEN	false	Palkokasvit ja pähkinät	590.2629063097514	48	1.41	6
31226	TRITICUM SPELTA	SPELT FLOUR, WHOLE MEAL	JAUHO, SPELTTIJAUHO, TÄYSJYVÄ	true	Viljat	349.1228489483747	2.4	1.358	8.38
31237	AMARANTHUS HYPOCHONDRIACUS	AMARANTH FLAKES	AMARANTTI, HIUTALE	true	Viljat	369.3690248565966	7	1.69	6.7
31555	PUNICA GRANATUM	POMEGRANATE, WITHOUT SKIN	GRANAATTIOMENA, KUORITTU	true	Hedelmät	84.5076481835564	1.17	13.67	4
32455	CITRUS PARADISI	GRAPEFRUIT PINK/RED, WITHOUT SKIN	VERIGREIPPI, KUORITTU	true	Hedelmät	35.42065009560229	0.14	6.89	1.6
33095	CARYA ILLINOINENSIS	NUT, PECAN	PÄHKINÄ, PEKAANIPÄHKINÄ	true	Palkokasvit ja pähkinät	710.0597514340344	71.97	3.97	9.6
33121	CANNABIS SATIVA	HEMP SEED, WHOLE	HAMPUNSIEMEN, KOKONAINEN	true	Palkokasvit ja pähkinät	454.51481835564056	32.9	1.36	27.6
33456	SPINACIA OLERACEA	SPINACH	PINAATTI	true	Kasvikset	18.133365200764818	0.56	0.1	1.9
33499	GLYSINE MAX	SOYA MINCE, WHITE OR DARK	SOIJAROUHE, VAALEA TAI TUMMA	true	Palkokasvit ja pähkinät	334.5984703632887	2.39	8	15
33893	GLYSINE MAX	TOFU, BREADED, FRIED IN OIL	TOFUPIHVI, LEIVITETTY TOFU, SISÄLTÄÄ SEESAMINSIEMENIÄ, PAISTETTU ÖLJYSSÄ	false	Ei raaka-aine	187.86567877629062	13.824	0.615	1.97
34159	ERUCA SATIVA	ROCKET, ARUGULA	RUKOLA, RUCOLA, SINAPPIKAALI	true	Kasvikset	18.164435946462714	0.303	0.352	1.6
